id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365,calculated_host_listings_count
774775532446402418,28260018,Manhattan,Upper East Side,40.77669,-73.94931,Private room,30.0,40,344,20
774778034807808122,357452194,Bronx,Claremont Village,40.84032,-73.91067,Private room,30.0,0,365,2
774790005240645091,28260018,Manhattan,Upper East Side,40.77479,-73.94889,Private room,30.0,47,364,20
774802408005054624,490250671,Manhattan,Harlem,40.83044,-73.94601,Entire home/apt,30.0,11,365,1
771870136610057169,77719880,Queens,Sunnyside,40.74587,-73.91678,Private room,30.0,0,89,1
771918390264300599,489774110,Manhattan,Lower East Side,40.721518,-73.9850044,Entire home/apt,30.0,4,227,1
771962449581256963,421601513,Manhattan,Washington Heights,40.84727,-73.94342,Private room,30.0,32,347,3
771967712456918474,326495,Brooklyn,Sunset Park,40.63833,-74.01671,Entire home/apt,30.0,6,43,1
771992176677623490,363928053,Brooklyn,Kensington,40.64209,-73.97971,Private room,365.0,5,0,9
772002179366812090,485803252,Manhattan,Harlem,40.8233127,-73.9531749,Private room,30.0,5,180,1
772003410329132579,18093303,Brooklyn,Carroll Gardens,40.683876,-73.9929839,Entire home/apt,30.0,13,324,1
772135787688936954,26377263,Queens,Far Rockaway,40.59793842192626,-73.75618010000001,Private room,30.0,6,8,43
772163145887336030,137358866,Queens,Elmhurst,40.7404828,-73.88390629999999,Private room,30.0,11,364,143
772198560326818270,26377263,Queens,Far Rockaway,40.5979873,-73.7561801,Private room,30.0,5,259,43
774826768451201686,474954733,Queens,Long Island City,40.76263758512421,-73.92835855767211,Entire home/apt,30.0,4,135,2
774836321544269499,490257632,Brooklyn,Fort Greene,40.6977,-73.97658,Private room,30.0,2,364,2
774843999742350040,490259214,Brooklyn,Bedford-Stuyvesant,40.69366084487096,-73.95023159017971,Entire home/apt,30.0,104,90,1
774847859612203928,393829481,Brooklyn,Bay Ridge,40.62927,-74.02405,Private room,30.0,0,0,1
774964827545681619,28260018,Manhattan,Upper East Side,40.77601,-73.95059,Private room,30.0,50,351,20
774997494059685168,59089906,Brooklyn,East New York,40.67243,-73.87821,Entire home/apt,30.0,4,288,3
775141157558032530,107434423,Manhattan,Nolita,40.7223595,-73.9953761,Entire home/apt,30.0,0,345,1210
775328752462827141,294695910,Brooklyn,Prospect-Lefferts Gardens,40.6608387,-73.9423625,Entire home/apt,30.0,14,180,1
775347520118311909,490345222,Brooklyn,Crown Heights,40.6764014,-73.92267509999999,Entire home/apt,30.0,0,364,1
772234088877834938,385091169,Manhattan,Battery Park City,40.70883,-74.01641,Entire home/apt,30.0,10,356,4
772239381534659822,137358866,Queens,Elmhurst,40.7404828,-73.88390629999999,Private room,30.0,6,345,143
772279462487875919,324301875,Queens,Queens Village,40.7049094,-73.73596429999999,Private room,1.0,348,86,1
775955744385547821,3106679,Brooklyn,Crown Heights,40.67478522202471,-73.95483524635982,Entire home/apt,30.0,2,149,1
775966284146509182,310458391,Queens,Astoria,40.75744,-73.91966,Private room,30.0,42,257,3
776003056822378088,30380500,Brooklyn,DUMBO,40.7026011,-73.9860746,Entire home/apt,30.0,6,0,1
776007097389560367,31907981,Brooklyn,Greenpoint,40.73197,-73.95927,Private room,62.0,0,0,1
776013736440101802,867225,Manhattan,Morningside Heights,40.80634,-73.95905,Private room,31.0,5,202,2
776018834861372435,206778021,Manhattan,Harlem,40.82247,-73.95453,Private room,30.0,4,243,12
776027620120107434,2867137,Manhattan,Murray Hill,40.74433,-73.97167,Entire home/apt,30.0,4,106,96
775370554168722901,129009415,Brooklyn,Carroll Gardens,40.67973061339328,-73.99782991000498,Entire home/apt,30.0,0,363,1
775391797402674304,122708518,Manhattan,East Village,40.72769,-73.98933,Entire home/apt,30.0,5,31,1
775404417497255085,176950173,Manhattan,Midtown,40.76321,-73.97629,Entire home/apt,5.0,1,302,20
775404906098039775,154466053,Queens,Ozone Park,40.68246,-73.84569,Entire home/apt,30.0,19,365,1
